iter	MultiClass
283	-0.8501482301
284	-0.8500555106
285	-0.8499614957
286	-0.8498508388
287	-0.8497836914
288	-0.8496520019
289	-0.8495199233
290	-0.8493777959
291	-0.8492494198
292	-0.8491554733
293	-0.8490400906
294	-0.8488878753
295	-0.8487483361
296	-0.8486455171
297	-0.8485232065
298	-0.848399033
299	-0.8483113392
300	-0.8482152854
301	-0.8480723453
302	-0.8479164563
303	-0.8478773066
304	-0.8477857918
305	-0.8476378649
306	-0.8475476319
307	-0.8474189688
308	-0.8472383
309	-0.8470997542
310	-0.8469908425
311	-0.8468947013
312	-0.8467837938
313	-0.8466132117
314	-0.8465145573
315	-0.8464243037
316	-0.8463405268
317	-0.8462630027
318	-0.8461682031
319	-0.846042794
320	-0.8459269865
321	-0.8458015474
322	-0.845682909
323	-0.8456134432
324	-0.8455010279
325	-0.8454412919
326	-0.8453010689
327	-0.8452146293
328	-0.8450643129
329	-0.8450189482
330	-0.844908299
331	-0.8447880806
332	-0.8446964532
333	-0.844596193
334	-0.8444640353
335	-0.8443341633
336	-0.8442082809
337	-0.8440891077
338	-0.8439567196
339	-0.8437903259
340	-0.8436566511
